item,activity,cost_type,role,gloria_index,gloria_sector,isic_rev4,rationale
Pipeline_transport#OPEX,Pipeline_transport,OPEX,baseline,103,Transport via pipeline,4930,"Operation and maintenance of the repurposed offshore pipeline by a pipeline operator (used in the submitted analysis)"
Pipeline_transport#OPEX,Pipeline_transport,OPEX,alternative,94,Distribution of gaseous fuels through mains,352,"Danish gas-network operators (Energinet/Evida) taking over the repurposed lines"
Pipeline_transport#OPEX,Pipeline_transport,OPEX,alternative,106,Services to transport,52,"Contracted inspection, monitoring and maintenance services rather than an operator"
Pipeline_transport#Energy,Pipeline_transport,Energy,baseline,93,"Electric power generation, transmission and distribution",351,"Electricity for booster pumping (unambiguous; no alternative tested)"
Shipping_Transport#CAPEX,Shipping_Transport,CAPEX,baseline,104,Water transport,50,"Vessel acquisition booked with the shipping operator (used in the submitted analysis)"
Shipping_Transport#CAPEX,Shipping_Transport,CAPEX,alternative,88,Other transport equipment,301,"Building of ships (ISIC 3011): new-build or converted CO2 carriers purchased from shipyards"
Shipping_Transport#OPEX,Shipping_Transport,OPEX,baseline,104,Water transport,50,"Crew, maintenance, insurance and administration of the carriers (used in the submitted analysis)"
Shipping_Transport#OPEX,Shipping_Transport,OPEX,alternative,106,Services to transport,52,"Port fees, cargo handling and ship-management services (ISIC 5222/5224)"
Shipping_Transport#Energy,Shipping_Transport,Energy,baseline,94,Distribution of gaseous fuels through mains,352,"LNG bunker fuel for dual-fuel (DFDE) carriers (used in the submitted analysis)"
Shipping_Transport#Energy,Shipping_Transport,Energy,alternative,63,Refined petroleum products,192,"Marine gas oil / diesel bunker fuel"
Unloading#CAPEX,Unloading,CAPEX,baseline,86,Machinery and equipment,28,"FSIU topside process equipment (used in the submitted analysis)"
Unloading#CAPEX,Unloading,CAPEX,alternative,88,Other transport equipment,301,"FSIU as a converted LNG carrier hull built or retrofitted by a shipyard (the 'oil-and-gas shipbuilding' reading)"
Unloading#CAPEX,Unloading,CAPEX,alternative,99,Civil engineering construction,42,"Offshore platform / mooring construction (ISIC 4290 includes offshore facilities)"
Unloading#OPEX,Unloading,OPEX,baseline,106,Services to transport,52,"Offshore off-loading support services (used in the submitted analysis)"
Unloading#OPEX,Unloading,OPEX,alternative,104,Water transport,50,"FSIU operated as a marine unit (crew, marine operations)"
Unloading#OPEX,Unloading,OPEX,alternative,89,Repair and installation of machinery and equipment,33,"OPEX at 5% of CAPEX interpreted as maintenance"
Gasification_and_injection#CAPEX,Gasification_and_injection,CAPEX,baseline,86,Machinery and equipment,28,"Cargo and booster pumps, heaters (used in the submitted analysis)"
Gasification_and_injection#CAPEX,Gasification_and_injection,CAPEX,alternative,88,Other transport equipment,301,"Injection equipment integrated on board the FSIU (shipyard scope)"
Gasification_and_injection#CAPEX,Gasification_and_injection,CAPEX,alternative,99,Civil engineering construction,42,"Wellhead / riser / platform tie-in works"
Gasification_and_injection#OPEX,Gasification_and_injection,OPEX,baseline,106,Services to transport,52,"Off-loading and injection support services (used in the submitted analysis)"
Gasification_and_injection#OPEX,Gasification_and_injection,OPEX,alternative,89,Repair and installation of machinery and equipment,33,"OPEX at 5% of CAPEX interpreted as maintenance"
Gasification_and_injection#OPEX,Gasification_and_injection,OPEX,alternative,114,"Professional, scientific and technical services",71,"Reservoir monitoring, engineering and injection management services"
Gasification_and_injection#Energy,Gasification_and_injection,Energy,baseline,94,Distribution of gaseous fuels through mains,352,"Fuel for the on-board generator of the FSIU, same fuel as the carriers (used in the submitted analysis)"
Gasification_and_injection#Energy,Gasification_and_injection,Energy,alternative,63,Refined petroleum products,192,"Marine gas oil / diesel for the on-board generator"
